iter	RMSE
0	239059.8338
1	219885.7917
2	202974.3357
3	189807.7827
4	177064.8039
5	164447.7028
6	151368.435
7	139993.6014
8	129881.2524
9	121304.5049
10	112948.5338
11	106016.5752
12	98437.46105
13	92417.62808
14	87913.68377
15	81966.34021
16	77741.55072
17	73503.83278
18	70703.71022
19	67227.94926
20	63912.66153
21	60533.80471
22	58158.7046
23	55866.31922
24	53964.83033
25	51491.768
26	49235.88019
27	47084.1892
28	45200.16988
29	43470.95866
30	42240.80561
31	40663.49625
32	39276.04766
33	37826.96483
34	36518.853
35	35219.93184
36	33886.72258
37	32856.18827
38	31973.84356
39	30989.52185
40	30079.14602
41	29413.56244
42	28802.92524
43	28236.34337
44	27382.02656
45	26864.59081
46	26230.25937
47	25681.43019
48	25248.85807
49	24709.93598
50	24160.96645
51	23623.35972
52	23116.03546
53	22692.11506
54	22273.57679
55	21843.8472
56	21351.72665
57	20951.83069
58	20626.58078
59	20338.20819
60	20077.74189
61	19767.56396
62	19452.9295
63	19182.30958
64	18898.97157
65	18630.80475
66	18397.17103
67	18160.27753
68	17948.59428
69	17743.19098
70	17565.40523
71	17364.47743
72	17210.08717
73	17014.55544
74	16854.18457
75	16690.44394
76	16526.55203
77	16388.03087
78	16249.16865
79	16090.76477
80	15977.11355
81	15854.83316
82	15738.55912
83	15640.52417
84	15494.42423
85	15379.88456
86	15261.95353
87	15175.61847
88	15049.20808
89	14953.07067
90	14885.82646
91	14801.72487
92	14708.46637
93	14618.14947
94	14535.76174
95	14435.22573
96	14358.59451
97	14274.17961
98	14188.80852
99	14129.04335
100	14077.60357
101	13992.68214
102	13880.23917
103	13798.2166
104	13736.58024
105	13672.86865
106	13619.6907
107	13576.20867
108	13526.22647
109	13472.45368
110	13440.48821
111	13409.47149
112	13356.94385
113	13307.16668
114	13265.40067
115	13204.50886
116	13172.75342
117	13138.87807
118	13081.03442
119	13039.54704
120	12985.89291
121	12955.53131
122	12928.81445
123	12875.90739
124	12822.90483
125	12790.42632
126	12735.54041
127	12689.68528
128	12615.1199
129	12580.75852
130	12501.06662
131	12490.46537
132	12436.81743
133	12388.80226
134	12320.76065
135	12256.42084
136	12223.13683
137	12181.24114
138	12155.63493
139	12120.85142
140	12099.03613
141	12056.11744
142	11989.09318
143	11955.94281
144	11939.50406
145	11906.25365
146	11864.64108
147	11833.99583
148	11798.95898
149	11751.89778
150	11715.7344
151	11690.60934
152	11662.34176
153	11638.48095
154	11609.64528
155	11595.35488
156	11571.21665
157	11564.44617
158	11532.23209
159	11507.38588
160	11476.34829
161	11442.99086
162	11392.17962
163	11356.72381
164	11335.67528
165	11318.56245
166	11276.0137
167	11251.07902
168	11228.80043
169	11197.63008
170	11161.18945
171	11144.15615
172	11131.08067
173	11115.35596
174	11112.90951
175	11090.89648
176	11068.01006
177	11040.10648
178	11015.27143
179	10992.5607
180	10973.24321
181	10951.48645
182	10926.06641
183	10890.77045
184	10863.2784
185	10836.55785
186	10795.83033
187	10768.56181
188	10757.75521
189	10726.73269
190	10698.87159
191	10676.01595
192	10672.83274
193	10655.23502
194	10628.99518
195	10620.63381
196	10608.30063
197	10547.2698
198	10542.12757
199	10530.27666
