iter	Passed	Remaining
0	142	28300
1	142	14148
2	143	9414
3	143	7047
4	144	5625
5	144	4675
6	144	3996
7	145	3488
8	145	3091
9	145	2773
10	146	2512
11	146	2296
12	146	2113
13	147	1957
14	147	1821
15	147	1701
16	148	1596
17	148	1502
18	148	1418
19	149	1343
20	149	1274
21	149	1213
22	150	1157
23	150	1105
24	151	1057
25	151	1013
26	151	972
27	152	934
28	152	899
29	152	865
30	153	835
31	153	806
32	153	778
33	154	754
34	154	730
35	155	708
36	156	687
37	156	667
38	156	647
39	157	628
40	157	611
41	157	594
42	158	578
43	158	562
44	159	547
45	159	533
46	159	519
47	159	506
48	160	494
49	160	481
50	161	470
51	161	459
52	161	448
53	162	438
54	162	428
55	162	418
56	163	409
57	163	401
58	164	392
59	164	383
60	164	375
61	165	368
62	165	360
63	166	353
64	166	346
65	167	339
66	167	332
67	168	326
68	168	319
69	168	313
70	169	307
71	170	303
72	171	297
73	171	291
74	171	286
75	172	281
76	172	275
77	173	270
78	173	265
79	173	260
80	174	256
81	174	251
82	175	246
83	175	242
84	175	237
85	176	233
86	176	229
87	176	225
88	177	220
89	177	216
90	177	213
91	178	209
92	178	205
93	178	201
94	179	198
95	179	194
96	179	191
97	180	187
98	180	184
99	181	181
100	181	178
101	182	174
102	182	171
103	182	168
104	183	165
105	183	162
106	184	159
107	184	157
108	184	154
109	185	151
110	185	148
111	186	146
112	186	143
113	186	140
114	187	138
115	187	135
116	187	133
117	188	130
118	188	128
119	189	126
120	189	123
121	189	121
122	190	119
123	190	116
124	191	114
125	191	112
126	191	110
127	192	108
128	192	105
129	192	103
130	193	101
131	193	99
132	194	97
133	194	95
134	194	93
135	195	91
136	195	89
137	196	88
138	196	86
139	196	84
140	197	82
141	197	80
142	198	78
143	198	77
144	198	75
145	199	73
146	199	71
147	200	70
148	200	68
149	200	66
150	201	65
151	201	63
152	201	62
153	202	60
154	202	58
155	203	57
156	203	55
157	203	54
158	204	52
159	204	51
160	204	49
161	205	48
162	205	46
163	206	45
164	206	43
165	206	42
166	207	40
167	207	39
168	208	38
169	209	36
170	209	35
171	209	34
172	210	32
173	210	31
174	211	30
175	211	28
176	212	27
177	212	26
178	212	24
179	213	23
180	213	22
181	214	21
182	214	19
183	214	18
184	215	17
185	215	16
186	216	15
187	216	13
188	216	12
189	217	11
190	217	10
191	218	9
192	218	7
193	218	6
194	219	5
195	219	4
196	219	3
197	220	2
198	220	1
199	221	0
