Area,Bedrooms,Bathrooms,Garage,Grade,LotArea,Location,Price
3676,4,5,2,9,4179,Downtown,1030784
3650,4,6,4,8,6185,Downtown,1065752
2749,2,7,3,9,1036,Beachfront,797977
1118,1,5,1,3,3375,Suburb,364312
1001,3,1,2,3,7041,Beachfront,351625
2112,9,1,0,5,1841,Beachfront,615487
3248,5,4,0,9,4661,Beachfront,947714
3722,7,5,2,7,2029,Beachfront,994233
2288,6,9,3,9,3573,Beachfront,776314
3159,2,2,0,2,9935,Suburb,831458
957,8,4,4,8,3700,Suburb,490448
2644,5,3,2,8,6433,Countryside,841531
740,9,6,3,5,9742,Beachfront,488817
3402,7,7,4,9,8359,Suburb,1005301
3446,7,9,3,9,7296,Beachfront,1088520
2011,5,9,3,7,5695,Suburb,699763
4514,7,3,4,4,9569,Countryside,1215281
2324,5,9,1,9,3158,Beachfront,749315
3070,5,2,2,2,4823,Suburb,744381
2246,2,6,1,1,8415,Suburb,595341
2006,5,7,3,3,5654,Downtown,637883
2640,8,5,4,7,3596,Beachfront,805739
4628,5,7,0,5,3926,Beachfront,1174010
3009,1,2,0,7,3464,Beachfront,727042
4389,6,4,2,5,7729,Countryside,1172904
4809,2,6,1,4,1998,Beachfront,1141460
992,6,1,1,2,8351,Countryside,338155
4874,6,6,2,7,3871,Suburb,1258861
1478,8,2,3,4,8887,Beachfront,562344
2658,6,8,0,6,8906,Downtown,839617
2127,4,4,1,8,6932,Suburb,642842
3580,9,9,3,7,6805,Beachfront,1098393
2427,3,5,0,7,9633,Beachfront,777560
2762,1,2,4,8,5630,Downtown,744369
2793,9,7,0,1,1280,Suburb,696624
4453,7,8,1,1,6809,Beachfront,1095781
1284,8,8,3,4,7382,Downtown,528733
1057,7,7,3,9,1623,Beachfront,463760
4060,5,9,4,3,5593,Beachfront,1100720
912,2,4,1,3,6002,Downtown,342427
3458,4,6,2,7,9778,Suburb,1019922
3211,1,1,2,9,3262,Suburb,811555
3417,9,9,4,7,3938,Downtown,979180
1663,6,5,0,1,2152,Suburb,419216
2144,8,6,3,6,9910,Countryside,722991
1373,2,1,4,3,4310,Countryside,361905
2620,7,1,4,7,5604,Beachfront,800420
712,6,3,3,1,3266,Countryside,291196
4846,9,4,0,4,4714,Suburb,1212441
2487,8,4,1,3,5997,Downtown,693299
1226,1,5,2,4,1791,Downtown,419266
4121,1,1,4,4,3216,Downtown,956713
2994,8,8,0,2,5601,Beachfront,799407
4973,8,3,3,4,3643,Downtown,1214960
4143,5,6,1,5,6848,Countryside,1097941
4579,2,7,1,5,8290,Suburb,1127700
641,1,5,4,5,5968,Suburb,364387
1841,2,2,2,7,7096,Suburb,594591
842,1,9,1,2,9894,Beachfront,391537
1099,7,8,4,8,2011,Beachfront,546297
2816,8,7,3,8,1348,Downtown,848667
3959,9,5,1,1,8974,Suburb,1012687
4393,2,9,4,5,8931,Suburb,1180634
2281,5,8,4,1,8564,Downtown,702632
4629,6,1,0,6,6799,Beachfront,1109846
2896,9,6,1,8,4872,Countryside,920474
2020,1,5,4,8,9342,Countryside,717804
1239,8,3,4,1,2818,Suburb,449909
3793,6,6,3,9,3899,Beachfront,1018426
4050,4,6,0,9,3388,Countryside,1030192
3158,5,6,3,2,3075,Countryside,849882
4691,9,1,3,3,3842,Countryside,1096404
3885,6,4,3,1,5395,Downtown,986070
3720,7,6,3,5,8314,Suburb,1034793
3390,6,8,1,6,7125,Countryside,970400
4568,6,5,0,9,8978,Beachfront,1194642
3947,4,6,4,4,6154,Countryside,1051784
2137,3,6,0,1,2847,Countryside,556072
789,6,7,0,3,6881,Suburb,349451
4903,1,1,3,7,1111,Downtown,1136121
4608,4,6,2,1,5481,Countryside,1125921
4475,5,3,2,2,3787,Downtown,1057935
1549,2,5,4,4,8853,Downtown,527867
3855,8,2,1,5,6390,Downtown,1010456
2249,4,5,0,6,6944,Countryside,689299
4095,9,4,4,5,3108,Downtown,1081960
672,2,4,2,9,1564,Beachfront,373614
3898,1,9,4,4,6250,Suburb,970803
4687,4,2,0,5,9678,Beachfront,1190822
3004,3,2,1,9,8810,Downtown,915735
1608,1,5,4,9,7697,Suburb,576647
4160,8,8,3,8,8006,Countryside,1235722
1140,3,2,2,3,8174,Beachfront,387744
4403,9,8,1,2,4520,Downtown,1150927
1266,5,5,0,1,2494,Countryside,335891
1197,4,2,3,5,7704,Suburb,461657
1826,1,2,2,3,4504,Beachfront,487014
1587,6,7,0,2,3405,Downtown,498314
2542,2,7,2,8,1206,Beachfront,727265
1193,2,1,4,4,8934,Countryside,441869
2526,2,9,1,3,7539,Suburb,673965
2556,6,7,4,2,5633,Downtown,714517
1083,9,4,3,1,2134,Countryside,352813
3387,9,9,4,7,6181,Beachfront,1053844
1225,7,8,0,7,1859,Countryside,524330
1198,4,1,2,9,4666,Suburb,500658
3497,5,5,4,3,3856,Countryside,864319
2254,4,7,2,6,6258,Downtown,757424
3869,4,4,1,3,8786,Countryside,991450
1421,4,7,1,1,3967,Downtown,446533
1366,8,6,4,2,4962,Countryside,471228
4441,5,3,4,9,4755,Suburb,1179994
2187,8,8,3,4,1996,Downtown,671965
4805,1,7,3,5,2262,Beachfront,1177822
1072,3,1,0,7,2726,Downtown,421678
1776,5,3,0,9,7348,Downtown,669639
1005,2,4,0,9,3464,Countryside,407914
3334,8,4,3,4,4261,Suburb,938493
3602,2,1,0,4,1188,Countryside,792439
709,2,2,4,9,9723,Suburb,468615
2587,6,4,4,5,5159,Countryside,765626
783,2,4,1,5,3137,Suburb,367161
915,7,5,2,5,1992,Suburb,438779
1756,5,6,2,4,6923,Countryside,543515
2373,6,1,2,6,1007,Countryside,679878
3883,1,5,2,9,5439,Downtown,1050718
881,2,7,3,7,3454,Countryside,374984
3733,7,7,3,6,7562,Countryside,1055101
1980,1,6,4,8,9966,Downtown,644893
1572,1,4,4,9,1209,Suburb,500852
2223,7,8,4,7,6257,Downtown,753005
587,6,3,3,4,3093,Downtown,330199
4205,3,8,1,8,1585,Suburb,1053351
3862,9,5,3,1,4429,Downtown,1022631
1023,4,3,3,6,7683,Beachfront,428172
2769,5,1,4,8,1030,Downtown,779253
2019,7,2,2,6,9985,Suburb,646453
3168,2,3,4,5,3321,Downtown,821365
3423,3,7,0,9,3754,Beachfront,991629
618,4,4,4,8,5012,Suburb,391614
1905,4,9,2,3,5086,Beachfront,580819
1381,4,6,2,1,7616,Countryside,487534
4262,2,6,0,7,4005,Countryside,1065664
738,5,9,4,9,8310,Downtown,511838
2536,6,7,2,8,7338,Beachfront,779885
2538,1,7,3,3,3782,Beachfront,704096
1269,7,5,1,5,5629,Beachfront,537312
1530,3,2,2,7,4595,Suburb,537955
2995,4,3,2,5,3733,Downtown,756814
1801,4,2,0,2,2132,Downtown,420841
1433,8,2,0,4,2849,Countryside,429695
3870,6,5,0,3,3802,Beachfront,965422
2913,8,3,1,2,5355,Countryside,803885
917,8,8,2,9,5421,Downtown,552793
4197,5,8,4,1,2693,Beachfront,1062658
914,1,8,0,9,1622,Suburb,411580
2227,8,9,4,6,1173,Countryside,748208
4178,3,9,3,5,1542,Suburb,1024477
663,2,9,1,6,9803,Suburb,398050
2230,6,2,3,7,4055,Suburb,720725
4389,4,9,1,7,7053,Downtown,1124736
4739,5,4,0,7,4714,Downtown,1180210
3418,5,3,2,5,9990,Suburb,912086
917,1,7,3,7,1969,Downtown,438184
990,5,6,4,9,1614,Downtown,511157
3920,7,2,2,6,4158,Downtown,993176
1708,4,8,4,2,6083,Beachfront,515153
3262,9,4,0,6,6177,Countryside,953043
4203,8,8,0,6,9331,Countryside,1144611
2354,2,3,0,1,1991,Beachfront,525882
3144,4,2,4,6,4830,Countryside,858260
3148,8,3,2,3,9356,Downtown,832161
4685,1,2,3,3,5689,Suburb,1031903
4623,5,2,3,1,6718,Countryside,1072620
2921,5,8,2,1,7710,Suburb,775666
4301,1,4,1,1,8390,Suburb,998340
3759,8,9,1,4,5919,Suburb,1054470
4345,4,5,1,6,3676,Beachfront,1058480
4374,5,1,2,9,8083,Beachfront,1192408
1011,4,3,2,9,9330,Downtown,499259
1381,2,7,3,3,9562,Countryside,519851
1159,7,1,0,9,2331,Countryside,463867
